1.889000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.890000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.890999999999999943e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.892000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.893000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.894000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.895000000000000000e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.896000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.897000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.898000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.899000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.900000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.901000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.902000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.903000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.904000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.905000000000000000e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.906000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.907000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.908000000000000398e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.909000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.910000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.911000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.912000000000000455e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.913000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.914000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.915000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.916000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.917000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.918000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.919000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.920000000000000000e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.921000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.922000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.923000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.924000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.925000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.926000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.927000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.928000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.929000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.930000000000000000e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.931000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.932000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.933000000000000398e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.934000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.935000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.936000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.937000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.938000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.939000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.940000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.941000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.942000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.943000000000000398e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.944000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.945000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.946000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.947000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.948000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.949000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.950000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.950999999999999943e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.952000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.953000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.954000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.955000000000000000e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.956000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.957000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.958000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.959000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.960000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.961000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.962000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.963000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.964000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.965000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.966000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.967000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.968000000000000398e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.969000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.970000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.971000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.972000000000000455e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.973000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.974000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.975000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.976000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.977000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.978000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.979000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.980000000000000000e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.981000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.982000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.983000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.984000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.985000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.986000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.987000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.988000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.989000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.990000000000000000e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.991000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.992000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.993000000000000398e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.994000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.995000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.996000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.997000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.998000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
1.999000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.000000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.001000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.002000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.003000000000000398e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.004000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.005000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.006000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.007000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.008000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.009000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.010000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.010999999999999943e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.012000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.013000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.014000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.015000000000000000e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.016000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.017000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.018000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.019000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.020000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.021000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.022000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.023000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.024000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.025000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.026000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.027000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.028000000000000398e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.029000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.030000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.031000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.032000000000000455e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.033000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.034000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.035000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.036000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.037000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.038000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.039000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.040000000000000000e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.041000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.042000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.043000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.044000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.045000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.046000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.047000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.048000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.049000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.050000000000000000e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.051000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.052000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.053000000000000398e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.054000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.055000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.056000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.057000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.058000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.059000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.060000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.061000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.062000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.063000000000000398e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.064000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.065000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.066000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.067000000000000455e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.068000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.069000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.070000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.071000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.072000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.073000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.074000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.075000000000000000e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.076000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.077000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.078000000000000398e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.079000000000000057e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.080000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.081000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.082000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.083000000000000114e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.084000000000000341e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.085000000000000284e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.086000000000000227e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.087000000000000171e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.088000000000000398e+02,-5.111264639450734462e-03,-2.013633695877895327e-02
2.089000000000000057e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.090000000000000284e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.091000000000000227e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.092000000000000455e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.093000000000000114e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.094000000000000341e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.095000000000000284e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.096000000000000227e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.097000000000000171e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.098000000000000398e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.099000000000000341e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.100000000000000284e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.101000000000000227e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.102000000000000171e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.103000000000000114e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.104000000000000057e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
2.105000000000000284e+02,-5.111264639450734462e-03,-2.013633695877894980e-02
